TF,target,importance
ZNF652,PEX13,53.56370771957807
FLI1,C9orf72,51.512693758272135
NPDC1,PAQR8,47.64524350342538
FLI1,FAM219A,46.658197330771685
ZNF408,RP11-284N8.3,46.47959292759919
ZNF408,MSANTD3,46.42486049637017
ZNF552,PGS1,44.24672940514013
ZNF568,MOK,43.71543515002278
ZNF408,TMTC4,43.541890312080135
ZNF251,RP11-458J1.1,42.676747103726576
SP2,SPON2,42.567513423104614
E2F5,NELFCD,40.86072618120575
ZNF568,LINC00623,40.634333943158644
ZNF251,GTF2H4,40.516963388520146
DUS3L,ZZZ3,39.67709146536608
ZNF652,SERPINI1,39.66272634938657
NPDC1,ZFYVE27,39.46073718224052
ZNF683,RENBP,38.84166725113715
ZNF552,ARHGAP12,37.65729315389335
SNAI3,ZFP90,37.446105087004184
ZNF683,MIS12,36.817254456297036
ARFGAP1,MON2,36.678617764473955
ELF1,BGN,36.33053933496579
ZNF683,IFT80,35.71063776229156
ZNF408,ZNF318,35.673796427273786
NR4A1,E2F5,35.42904881055942
KLF2,SBNO2,35.119707323581736
ELF1,ALG9,34.82403251061674
ETS1,ARHGEF26,34.517742882160306
ARFGAP1,RP5-1157M23.2,34.492627515227554
NPDC1,UFSP1,34.452449781586225
ARFGAP1,OAS2,34.3683442536051
ZNF552,PGPEP1,33.77253523493448
ZNF552,TNC,33.51701676812046
NFAT5,ARHGEF26,33.24165653944421
ZNF408,SFMBT1,32.81067915685614
ELF1,ZNF626,32.80243774058728
ZNF652,THAP2,32.68584471026877
ZNF652,LINC01504,32.60905624679916
SP2,FAM168A,32.535734259391994
NR4A1,PLA2G2A,32.43387205494249
ELF1,MED20,32.20757884323706
NFATC2,LY6G5C,31.852911224774054
ZNF568,WWP1,31.836136754578014
NPDC1,CDK8,31.750690409144045
NPDC1,BTN3A3,31.702661392786474
AGAP2,TNS3,31.613732935724464
ZFP90,SNAI3,31.592234234876262
ZNF528,KBTBD3,31.478279053010922
KDM4C,NCOA3,31.177383539715443
ZNF683,PPP2R2B,30.82196825569525
ZNF683,TRIM52,30.79770045484567
SP2,SLC16A1-AS1,30.676138646223773
ETS1,CRLF2,30.555234153632032
ZNF251,WDR5B,30.549496335082825
SPATS2,ARFGAP1,30.547930790340427
FLI1,LINC01006,30.42197653498063
FLI1,HCG20,30.08625573450604
ZNF683,TSPAN4,29.8731837212318
ZNF683,AC062029.1,29.863692959502615
ZNF408,PPIP5K2,29.819128898137873
NPDC1,VAMP1,29.75530919650129
NPDC1,ZNF430,29.581081669219298
KDM4C,U2AF1,29.57218161601264
FLI1,CCBL1,29.521203038507114
AGAP2,TCTE3,29.520668105495275
ELF1,GPC3,29.423307261305744
ZNF528,CDK11A,29.409705032391265
PHF21A,FGD3,29.21091112748897
KLF2,A2M,29.108976605031618
NFATC2,FBXO41,29.054273325938723
ZBTB2,MANEA-AS1,29.026513697207896
NR4A1,NELFCD,28.773774640626666
ZNF683,HTT,28.634120067483405
ZNF652,PREX1,28.568322573452107
NPDC1,TRIM39,28.56158305564803
CEBPE,SLC16A7,28.49167507403733
ZNF683,UBE4B,28.418609962998534
ZNF683,KRT81,28.325013915896797
E2F5,PLA2G2A,28.31902169028547
AGAP2,DKFZp779M0652,28.18045831708876
KLF2,GSPT2,27.936902659329462
ZNF528,NAALADL1,27.905968842359275
ZNF683,SAMD3,27.850622449983213
PHTF1,KLRG1,27.784878317756288
ARFGAP1,TMEM198,27.75559198802409
U2AF1,KDM4C,27.715833457292035
ARFGAP1,SUGP1,27.708211674214155
AGAP2,PSMG3-AS1,27.65019740420751
ETS1,NFAT5,27.591197120208115
AGAP2,HS2ST1,27.57921923228982
R3HDM2,CMTM8,27.54358638733167
ZNF408,RBM27,27.099562187287436
NFAT5,NIN,27.06797938784354
KLF2,TINAGL1,27.012262384950596
FLI1,AMIGO2,26.832725031156052
ZNF683,ZC3H12D,26.796437760202032
ZNF224,CREBZF,26.71857906184468
ZNF552,CA5B,26.704081526460897
AGAP2,MINA,26.668893544667537
ZNF683,SETDB2,26.66168375709338
AGAP2,TNKS,26.64289555589439
ZNF683,LINC00944,26.567793170772184
ZNF683,KRT86,26.51730524767721
ZBTB2,RMND1,26.33375477554625
ZNF800,IDNK,26.23031218337224
SNAI3,SNAP47,26.097166950141176
FOSB,PLA2G7,25.98686431669856
ELF1,TTC21B,25.91506824055681
NPDC1,SSH3,25.827678925544713
ING3,CD300A,25.787452467071407
AGAP2,LINC00852,25.773525968236022
FLI1,AC010287.1,25.767950636614003
AGAP2,MAP3K12,25.70847928935354
NFATC2,POT1,25.66814100510103
ZNF568,POLR2J2,25.651234181540733
ZNF652,DDX39B,25.608126206423044
AGAP2,PLPP6,25.607662652613364
ZNF683,RGS18,25.57333817552568
ZNF552,LINC01550,25.401385403469458
ING3,HDHD2,25.36618716098623
KLF2,RGS5,25.285399208912352
RNF138,ZBTB49,25.202298982220277
NFAT5,NCAPD2,25.18555315587638
NFATC2,TMEM168,25.149953928768692
ING3,KLRF1,24.959133079552515
ZNF683,ERICH6-AS1,24.875570925628672
ZNF408,KIAA1841,24.857348614206227
ZNF683,C16orf72,24.847556195748332
HIST1H2BN,CCDC88B,24.839302454648777
ZNF408,FUT8-AS1,24.83471185262346
HIST1H2BN,ZNF528,24.831908801240832
ZNF552,POMGNT1,24.821469535142285
ZNF251,DCD,24.739667446029433
ZNF626,TTC21B,24.733664355002208
ZBTB2,AOAH,24.552629462661816
AGAP2,SUPT5H,24.51662267463692
ZNF683,PRKCZ,24.510675488513385
ZNF552,PTPRS,24.479657638463966
ZNF683,CTD-3184A7.4,24.414470743843427
ELF1,ACKR4,24.367576706135512
ZNF683,BOLA2B,24.35896785694827
ZNF430,ERMP1,24.210105161157703
ARFGAP1,BRAF,24.054988901245395
ZZZ3,SMKR1,24.05084958826425
ZFP14,CD300A,24.027866294945827
ZNF781,PRR7-AS1,24.01387766140542
ZNF302,SLAMF6,23.96702317214473
ZZZ3,MKNK2,23.796165046406397
ZNF683,TSPAN32,23.679062026029378
CEBPE,IPO9,23.673354165419198
ING3,FKTN,23.613835640875635
ETS1,LOH12CR2,23.57506653777729
KDM5A,ZNF316,23.518760900730506
NPDC1,PRR7,23.50398661485174
ELF1,PLXNA1,23.486053545623093
ZFP14,HDHD2,23.48377153072873
ZFP90,TARSL2,23.22142262610942
ZNF683,RP11-266L9.5,23.153158050404183
ZNF683,ANKRA2,23.077833301940416
NR4A1,BEX5,23.014922421873408
ZNF568,LINS1,22.942176563898286
R3HDM2,HMGN4,22.888482174986866
ZNF394,R3HDM2,22.819535647323153
ZBTB2,TP53I11,22.783287750237218
HIST2H2BE,POU2F1,22.53744582219936
ELF1,TNXB,22.519439999366377
ZNF430,FGFBP3,22.46162120358456
ZNF683,NPRL3,22.396129994115867
HIST2H2BE,LRRC58,22.394570723177942
ZNF683,RP11-428G5.5,22.331521028659722
PHF21A,PRR34,22.33121057356038
ZNF568,EIF1AD,22.222038304805967
NFATC2,ANO9,22.19641630530562
ZNF800,NUP153,22.169777085689805
SPATS2,FIG4,22.133853543267698
ZNF683,TCEAL1,22.025314087503975
