regime,rep,auc0,S_auc,S_depth
Independence,0,0.9297333333333333,0.05013333333333325,0.24363928458998374
Independence,1,0.9001333333333333,0.0935999999999999,0.22521725446963964
Independence,2,0.8677333333333334,0.05453333333333332,0.1406187835506414
Independence,3,0.8642666666666666,0.07093333333333329,0.3787910499859514
Independence,4,0.9026666666666667,0.10799999999999987,0.21029756836480046
Independence,5,0.8136,0.04133333333333339,0.176201342429244
Independence,6,0.7866666666666666,0.12813333333333315,0.35106561192929103
Independence,7,0.8533333333333333,0.1342666666666667,0.30722907205840766
Independence,8,0.8354666666666667,0.05306666666666665,0.33265119414794475
Independence,9,0.9014666666666666,0.03306666666666669,0.2208648344703515
Independence,10,0.8409333333333333,0.02226666666666688,0.17791157503091803
Independence,11,0.8523999999999999,0.036000000000000254,0.20859035021585404
Independence,12,0.8006666666666667,0.02106666666666651,0.1635789543212966
Independence,13,0.8498666666666667,0.18533333333333318,0.44378500922339836
Independence,14,0.8869333333333334,0.05106666666666665,0.15169200759570267
Independence,15,0.9331999999999999,0.09333333333333349,0.17254969425717692
Independence,16,0.8579999999999999,0.14760000000000018,0.24716676469274668
Independence,17,0.8019999999999999,0.08453333333333324,0.14646501292555275
Independence,18,0.8721333333333333,0.08213333333333339,0.136135177220012
Independence,19,0.8430666666666666,0.06706666666666661,0.1874269594763711
Independence,20,0.8832,0.07919999999999994,0.2506429196031616
Independence,21,0.8510666666666667,0.09306666666666652,0.19024439141288008
Independence,22,0.8922666666666667,0.09173333333333344,0.3278332944254023
Independence,23,0.9272,0.06693333333333307,0.19883863086297393
Independence,24,0.8442666666666666,0.1956000000000001,0.4210954626749563
Independence,25,0.8813333333333333,0.027200000000000002,0.14451780064846448
Independence,26,0.842,0.09586666666666677,0.26609220950505263
Independence,27,0.8985333333333333,0.021599999999999953,0.2518734495012872
Independence,28,0.8962666666666667,0.09666666666666668,0.3061985813044458
Independence,29,0.8582666666666666,0.049733333333333185,0.24401857469687277
Independence,30,0.8884000000000001,0.03706666666666658,0.06611471658628032
Independence,31,0.8565333333333334,0.0709333333333334,0.10968544534580232
Independence,32,0.8692,0.051866666666666617,0.10116938014194654
Independence,33,0.8473333333333334,0.026666666666666783,0.24089550571363427
Independence,34,0.8093333333333333,0.06573333333333353,0.19544727525170857
Independence,35,0.8442666666666666,0.057200000000000084,0.1981211903390157
Independence,36,0.8610666666666666,0.14106666666666662,0.4230951905956747
Independence,37,0.8789333333333332,0.04933333333333345,0.058110613029279334
Independence,38,0.8897333333333333,0.14640000000000014,0.32882885562529746
Independence,39,0.8342666666666665,0.055333333333333456,0.18936308006385366
Independence,40,0.8853333333333333,0.05120000000000002,0.19492703611187162
Independence,41,0.8844,0.061866666666666736,0.2402460683719816
Independence,42,0.8241333333333334,0.09053333333333324,0.1431143758910584
Independence,43,0.8277333333333334,0.09746666666666648,0.2553959328768067
Independence,44,0.8754666666666666,0.14986666666666681,0.4570756792103102
Independence,45,0.9002666666666667,0.08440000000000014,0.20031897512946784
Independence,46,0.8164,0.029333333333333433,0.0756936169722972
Independence,47,0.8268,0.057066666666666765,0.12309648597005862
Independence,48,0.9003999999999999,0.05160000000000009,0.1590430335787404
Independence,49,0.858,0.08373333333333333,0.15343402099711378
