n_pos,gamma,mean_auc_cv,mean_auc_insample,mean_syn_cv,sd_syn_cv,mean_syn_insample,sd_syn_insample,frac_syn_cv_neg,frac_syn_insample_neg
9,0.0,0.7096388888888889,0.9819722222222222,0.02963888888888888,0.05099822225175605,0.017416666666666657,0.023898915854329992,0.28,0.26
9,0.1,0.7002222222222221,0.9788055555555555,0.05872222222222221,0.07423791833368255,0.027361111111111107,0.03327222407747532,0.16,0.2
9,0.2,0.6890555555555556,0.9784444444444444,0.059638888888888866,0.053194560487253725,0.03177777777777778,0.02995964363796038,0.06,0.1
9,0.3,0.7248888888888889,0.9788333333333334,0.08316666666666668,0.08083220694136926,0.03127777777777778,0.026052297829984635,0.1,0.06
9,0.4,0.7101944444444444,0.9799444444444444,0.10238888888888888,0.09304271884926944,0.03688888888888888,0.03319782641999843,0.1,0.08
9,0.5,0.6996111111111111,0.9768611111111111,0.11961111111111113,0.08719330730914028,0.04149999999999999,0.03404068916045204,0.04,0.06
15,0.0,0.7155135135135136,0.9540900900900903,0.046936936936936915,0.04351537869279521,0.03363963963963962,0.02876096178246447,0.06,0.08
15,0.1,0.7203423423423423,0.9534414414414413,0.05848648648648649,0.051751825481134696,0.03711711711711712,0.027411085053314042,0.12,0.08
15,0.2,0.7283243243243243,0.9549549549549551,0.08499099099099099,0.0674046347827477,0.042594594594594595,0.03335039251813307,0.08,0.06
15,0.3,0.7269189189189187,0.959927927927928,0.09216216216216216,0.06282225580965875,0.046612612612612604,0.030050580956017696,0.02,0.02
15,0.4,0.7030990990990993,0.9504864864864867,0.10963963963963966,0.09086285688588142,0.056828828828828816,0.043358644814941984,0.02,0.04
15,0.5,0.731891891891892,0.9563783783783784,0.1324684684684685,0.09702379979074177,0.06536936936936938,0.04505050777686812,0.02,0.0
25,0.0,0.7476125,0.9334125,0.06563749999999997,0.04349434050827762,0.041937499999999996,0.029263685366850138,0.06,0.06
25,0.1,0.7285,0.9285749999999999,0.091525,0.05074802336052116,0.05274999999999999,0.029783332167506053,0.02,0.04
25,0.2,0.7558,0.936425,0.10995,0.06048783968699826,0.0689375,0.03666747750050445,0.02,0.0
25,0.3,0.748825,0.9359625,0.11861250000000002,0.06726466963607267,0.06727499999999997,0.03453253900309098,0.02,0.02
25,0.4,0.7265250000000001,0.9280125000000001,0.14123750000000002,0.0665244891468548,0.07596249999999997,0.03451951667173224,0.0,0.0
25,0.5,0.7211375000000001,0.9260125000000001,0.12857500000000002,0.07299732871824831,0.07409999999999997,0.03850632253279973,0.02,0.0
40,0.0,0.7654795918367348,0.924091836734694,0.07740816326530613,0.04804389392462099,0.049387755102040805,0.0259723445652437,0.02,0.0
40,0.1,0.7553979591836736,0.9226938775510205,0.10748979591836733,0.046353318695671136,0.05917346938775509,0.028301106407819236,0.0,0.0
40,0.2,0.7581938775510204,0.9220714285714285,0.11859183673469383,0.060727846196151965,0.06976530612244901,0.030891550638882388,0.0,0.0
40,0.3,0.7383673469387756,0.9097653061224491,0.13425510204081634,0.060384803984693744,0.07881632653061221,0.036549880906131496,0.0,0.0
40,0.4,0.7445306122448981,0.9157040816326532,0.13037755102040816,0.058488280062103694,0.07666326530612244,0.03387506291576233,0.0,0.0
40,0.5,0.7312755102040817,0.9078877551020409,0.1575408163265306,0.056136388806829696,0.0907448979591837,0.036716550224544564,0.0,0.0
