n_pos,gamma,mean_auc_cv,mean_auc_insample,mean_syn_cv,sd_syn_cv,mean_syn_insample,sd_syn_insample,frac_syn_cv_neg,frac_syn_insample_neg
9,0.0,0.9307222222222222,1.0,0.04833333333333333,0.06539587426107528,0.05777777777777779,0.039071002161149414,0.16,0.02
9,0.1,0.9120277777777779,0.9998055555555555,0.022111111111111113,0.06591815913467021,0.03455555555555554,0.02956427398561136,0.34,0.06
9,0.2,0.9076388888888889,0.9998055555555555,0.06080555555555552,0.06120780859770536,0.045444444444444454,0.02742982066526127,0.18,0.02
9,0.3,0.8976388888888889,0.9999166666666666,0.04497222222222221,0.06877111909070299,0.05016666666666665,0.0373769999258473,0.2,0.04
9,0.4,0.9157777777777778,0.9996944444444443,0.05475000000000001,0.078354552878503,0.05197222222222222,0.03266823739609931,0.32,0.06
9,0.5,0.9066388888888889,0.9993888888888889,0.04833333333333331,0.062497530815422545,0.04152777777777777,0.030443291239310548,0.18,0.08
15,0.0,0.9342162162162162,0.9998018018018017,0.03223423423423423,0.06380345042151794,0.05987387387387386,0.03324664159001408,0.3,0.0
15,0.1,0.941027027027027,0.9997837837837839,0.037261261261261266,0.05751608745849068,0.05956756756756758,0.02648626585677551,0.24,0.0
15,0.2,0.9437117117117118,0.9997657657657658,0.05241441441441442,0.06742150940316056,0.07091891891891892,0.03555993601780142,0.24,0.0
15,0.3,0.9277837837837838,0.9995315315315315,0.06084684684684686,0.06662263215797012,0.06717117117117116,0.0454272648653857,0.12,0.0
15,0.4,0.9291351351351351,0.9996036036036037,0.05270270270270269,0.07513194842767894,0.06969369369369373,0.04099158894722759,0.3,0.02
15,0.5,0.9122162162162162,0.9993333333333332,0.039819819819819816,0.057714217753781716,0.06540540540540539,0.030920724867982925,0.26,0.02
25,0.0,0.9473875,0.9996875,0.030200000000000022,0.06350312984412657,0.0568,0.03607514726234668,0.36,0.1
25,0.1,0.9480625,0.9998500000000001,0.03847500000000002,0.06981092321406444,0.06664999999999999,0.04398770424789183,0.32,0.08
25,0.2,0.9455999999999999,0.9992625,0.03981250000000001,0.060047019336932954,0.062225,0.0377301603495135,0.26,0.02
25,0.3,0.9472875000000001,0.99945,0.04845000000000001,0.06837879788355451,0.06597499999999999,0.03982445071812037,0.28,0.04
25,0.4,0.9358999999999998,0.9986625000000001,0.03726250000000002,0.062390390135420686,0.05963749999999998,0.03343746261680152,0.26,0.02
25,0.5,0.9348000000000001,0.9983624999999999,0.06721250000000001,0.05580185508789112,0.07227499999999998,0.04232588599190806,0.12,0.0
40,0.0,0.9453367346938777,0.9996326530612244,0.030336734693877557,0.0592251095271307,0.05222448979591837,0.03491626802215195,0.24,0.06
40,0.1,0.9518061224489796,0.9997653061224488,0.030877551020408154,0.059065878552365995,0.05503061224489796,0.03399200147238011,0.26,0.06
40,0.2,0.9509081632653061,0.9996122448979592,0.04476530612244896,0.0739821822206589,0.05986734693877551,0.046649687640268396,0.3,0.1
40,0.3,0.9442244897959183,0.9988673469387754,0.03927551020408167,0.0647141127498831,0.05012244897959183,0.04174823391955538,0.3,0.08
40,0.4,0.9369387755102041,0.9982346938775509,0.04410204081632652,0.05779530583095215,0.057704081632653066,0.03563917027853538,0.22,0.06
40,0.5,0.9285918367346939,0.9962346938775509,0.03605102040816328,0.058902623494718816,0.04566326530612244,0.03522599879710503,0.3,0.1
