tf_left_out,auc_leave_out,deltaAUC_vs_baseline,mean_stability_leave_out
FOSB(+),0.9429307116104869,-0.004400749063670384,0.9447833065810594
CHD1(+),0.9440823970037453,-0.003249063670412,0.9458533975387908
KLF2(+),0.9449438202247191,-0.0023876404494381775,0.9446762974852861
ELK3(+),0.9454026217228464,-0.0019288389513109072,0.9466559657570893
FOXP4(+),0.9462078651685393,-0.0011235955056180247,0.9469234884965223
SP3(+),0.946376404494382,-0.0009550561797753154,0.9478330658105939
IKZF3(+),0.9464232209737828,-0.000908239700374458,0.9472445157838417
RUNX3(+),0.946441947565543,-0.0008895131086142927,0.947565543071161
REL(+),0.9464887640449438,-0.0008426966292135463,0.9479935794542536
RORA(+),0.9468539325842698,-0.0004775280898875467,0.9482611021936865
DBP(+),0.9469288389513109,-0.00040262172284644127,0.9471910112359553
CXXC1(+),0.9471629213483145,-0.00016853932584282028,0.9474050294275015
ETS1(+),0.9472191011235955,-0.00011235955056176916,0.9473515248796149
FLI1(+),0.947312734082397,-1.8726591760276357e-05,0.9475655430711613
EOMES(+),0.9474250936329587,9.363295880138178e-05,0.9479400749063672
NFATC2(+),0.9475,0.00016853932584270925,0.9479400749063671
FOXK1(+),0.9475842696629214,0.0002528089887641194,0.9482611021936866
ELF1(+),0.9477247191011235,0.0003932584269662476,0.9481540930979134
ZBTB49(+),0.9477247191011235,0.0003932584269662476,0.9482611021936865
XRCC4(+),0.9477340823970036,0.00040262172284633024,0.9484216158373462
KDM5B(+),0.9478277153558052,0.0004962546816479341,0.9482075976458001
TCF7(+),0.9478464419475656,0.0005149812734083214,0.9486356340288925
POU2F1(+),0.9478838951310862,0.0005524344569288742,0.9484751203852329
RFX2(+),0.9480056179775282,0.000674157303370948,0.9484216158373463
SP2(+),0.9482022471910112,0.0008707865168539053,0.9487961476725523
ZNF182(+),0.9482677902621722,0.000936329588014928,0.9487961476725522
RBBP5(+),0.9483052434456929,0.0009737827715355918,0.9488496522204388
RUNX2(+),0.9483520599250937,0.0010205992509364492,0.948956661316212
KDM5A(+),0.9483988764044944,0.0010674157303370846,0.9487426431246657
ZNF195(+),0.9486142322097377,0.0012827715355804292,0.9488496522204388
ZNF740(+),0.9489887640449439,0.0016573033707866225,0.9491171749598717
ZNF528(+),0.9489981273408239,0.0016666666666665941,0.9494382022471911
