,delta_auc,pval,neglog10_p,regulon_size,size_weight,locking_score
POU2F1(+),0.041487117552334904,0.0029124932507414054,2.535735072375937,34,0.7465808914517115,0.0785405628934715
RORA(+),0.03394664902998234,0.006369505512459899,2.1958942821930405,5,0.37624822061526586,0.028046766113712204
ELK3(+),0.013428313533659433,0.10246751136851066,0.9894138113883602,89,0.9449066186872417,0.01255417945683665
SP3(+),0.03292791005291003,0.03796865774296562,1.420574755642059,1,0.1455526803620167,0.006808453362582579
REL(+),0.012701772324471707,0.3042142738822694,0.5168204124958047,116,1.0,0.006564535212161263
ZBTB49(+),0.01777835648148146,0.054960070386273936,1.2599527197558058,3,0.2911053607240334,0.006520727651555906
ZNF528(+),0.027203703703703702,0.13299180638298005,0.87617511506505,2,0.23069554025324912,0.0054986762380047904
NFATC2(+),0.005575925925925908,0.02413376038962253,1.6173750034445231,9,0.48351553818074344,0.004360518742757795
RUNX2(+),0.012323333333333325,0.06975234815434352,1.156441167648506,3,0.2911053607240334,0.004148603624695456
FOSB(+),0.03850848765432101,0.5861515038407589,0.23199011644280787,5,0.37624822061526586,0.0033612467899885277
SP2(+),0.004973251028806566,0.16814852965185711,0.7743069259519435,40,0.7798060544510579,0.0030028948686344377
ELF1(+),0.003664394247727576,0.24738547526535148,0.6066258026749111,57,0.8526448353505721,0.0018953579336558233
KDM5B(+),0.015688470728793306,0.5330931039536762,0.2731969354345864,7,0.43665804108605016,0.0018715347582106679
XRCC4(+),0.002056534900284894,0.16295413388703606,0.7879346176992598,103,0.9752669605795518,0.0015803372513684447
CXXC1(+),0.004230506822612057,0.06874885396426923,1.1627345370779523,2,0.23069554025324912,0.0011347813023334476
KLF2(+),0.020944783197831968,0.806483831042884,0.09340433523006621,9,0.48351553818074344,0.0009459176698363222
FOXP4(+),0.01174999999999999,0.5858162555630723,0.23223858143660978,3,0.2911053607240334,0.0007943692782719189
DBP(+),0.012481481481481472,0.5897953281968775,0.22929867184246466,1,0.1455526803620167,0.0004165698973989201
ZNF195(+),0.0005624999999999936,0.7094188532193082,0.14909727408184842,6,0.4086180336329848,3.426965716239135e-05
CHD1(+),0.0025755208333333376,0.885392272274965,0.05286427287330644,2,0.23069554025324912,3.140989822579688e-05
RFX2(+),-0.004945767195767196,0.7818205436328758,0.10689292194524626,2,0.23069554025324912,-0.00012196123609937126
KDM5A(+),-0.00813299663299664,0.7392537285431302,0.13120647636339577,1,0.1455526803620167,-0.00015531953164715778
IKZF3(+),-0.014220085470085478,0.657222840294831,0.18228735205127175,1,0.1455526803620167,-0.00037729317613895526
ZNF740(+),-0.013742129629629632,0.567148018012537,0.24630358128913113,5,0.37624822061526586,-0.00127350080029976
FLI1(+),-0.004504775828460039,0.3691014774279531,0.43285421642037303,28,0.7070921549885555,-0.0013787669204892662
ETS1(+),-0.004546608406158975,0.35831828392886345,0.44573103049753304,32,0.7342250848750178,-0.0014879544554131305
EOMES(+),-0.005986655773420453,0.5222177541097826,0.2821483673257151,87,0.9401875857078189,-0.0015880944988162203
FOXK1(+),-0.022430555555555554,0.4067381167148386,0.3906851265793311,2,0.23069554025324912,-0.0020216506374636308
RBBP5(+),-0.012885736800630414,0.45948726971127085,0.3377265164231035,10,0.5035295446217687,-0.002191287567025228
TCF7(+),-0.03058333333333333,0.2981688796164802,0.5255376865574904,1,0.1455526803620167,-0.00233942372832154
ZNF182(+),-0.03214583333333333,0.29816136763029133,0.5255486281931535,2,0.23069554025324912,-0.0038974162755855478
RUNX3(+),-0.019526851851851847,0.1232149391431647,0.9093366331285069,9,0.48351553818074344,-0.008585534814347089
