tf1,tf2,mean_stability_pair,delta_depth_vs_base,auc_pair,delta_auc_vs_base,expected_additive,synergy
POU2F1(+),KDM5B(+),0.6679307116104869,-0.049063670411985116,0.5898408239700375,-0.41015917602996255,0.0010486891385767,-0.41120786516853924
POU2F1(+),ZNF528(+),0.6700374531835206,-0.04695692883895142,0.5926404494382023,-0.40735955056179773,0.0022191011235953,-0.40957865168539304
POU2F1(+),KLF2(+),0.6663857677902623,-0.05060861423220975,0.5887734082397004,-0.41122659176029963,-0.0018352059925093,-0.40939138576779033
POU2F1(+),NFATC2(+),0.6691011235955057,-0.047893258426966345,0.591441947565543,-0.408558052434457,0.0007209737827715,-0.40927902621722845
POU2F1(+),SP2(+),0.6714887640449438,-0.04550561797752817,0.5923127340823969,-0.40768726591760307,0.0014232209737827,-0.4091104868913858
POU2F1(+),REL(+),0.6684456928838951,-0.048548689138576906,0.59124531835206,-0.40875468164794004,-0.00029026217228469997,-0.4084644194756553
KDM5B(+),SP2(+),0.672565543071161,-0.044428838951311,0.5931086142322097,-0.40689138576779027,0.0013670411985018,-0.40825842696629205
REL(+),SP2(+),0.6705056179775282,-0.04648876404494384,0.5917977528089887,-0.4082022471910113,2.8089887640400006e-05,-0.4082303370786517
ZNF528(+),KLF2(+),0.6701779026217228,-0.04681647940074918,0.5917790262172284,-0.40822097378277156,-0.0007209737827715999,-0.4075
ZNF528(+),KDM5B(+),0.672565543071161,-0.044428838951311,0.5947846441947565,-0.4052153558052435,0.0021629213483144,-0.4073782771535579
POU2F1(+),ZBTB49(+),0.6712078651685394,-0.045786516853932646,0.5938483146067416,-0.4061516853932584,0.000945692883895,-0.4070973782771534
KLF2(+),SP2(+),0.6709269662921349,-0.046067415730337125,0.591498127340824,-0.40850187265917604,-0.0015168539325841998,-0.4069850187265918
ELK3(+),DBP(+),0.6708801498127341,-0.04611423220973787,0.590805243445693,-0.40919475655430704,-0.0023314606741573,-0.40686329588014974
ZNF528(+),REL(+),0.6713014981273409,-0.04569288389513115,0.5940823970037453,-0.4059176029962547,0.000823970037453,-0.40674157303370767
ZNF528(+),NFATC2(+),0.6733614232209737,-0.04363295880149831,0.5953277153558053,-0.4046722846441947,0.0018352059925092,-0.4065074906367039
KDM5B(+),REL(+),0.6711142322097379,-0.04588014981273414,0.5932209737827715,-0.4067790262172285,-0.00034644194756559994,-0.4064325842696629
ZBTB49(+),REL(+),0.6711610486891386,-0.04583333333333339,0.5932116104868914,-0.4067883895131086,-0.0004494382022473,-0.4063389513108613
KDM5B(+),NFATC2(+),0.6728932584269662,-0.044101123595505776,0.5945505617977529,-0.4054494382022471,0.0006647940074906001,-0.4061142322097377
RUNX2(+),SP2(+),0.674250936329588,-0.04274344569288402,0.5958801498127342,-0.4041198501872658,0.0018913857677902999,-0.4060112359550561
NFATC2(+),SP2(+),0.6742041198501872,-0.042790262172284765,0.5951685393258427,-0.4048314606741573,0.0010393258426966,-0.40587078651685393
ELK3(+),CXXC1(+),0.6717696629213483,-0.04522471910112369,0.5927340823970038,-0.40726591760299624,-0.0020973782771537,-0.4051685393258425
KLF2(+),KDM5B(+),0.6711610486891386,-0.04583333333333339,0.5930992509363295,-0.40690074906367046,-0.0018913857677902,-0.4050093632958803
ZNF528(+),SP2(+),0.673876404494382,-0.04311797752808999,0.597743445692884,-0.40225655430711604,0.0025374531835204,-0.40479400749063643
KLF2(+),NFATC2(+),0.6716760299625468,-0.04531835205992518,0.5931928838951311,-0.40680711610486886,-0.0022191011235953998,-0.40458801498127345
ZNF528(+),DBP(+),0.6739700374531835,-0.0430243445692885,0.5969850187265918,-0.4030149812734082,0.0012640449438201,-0.4042790262172283
POU2F1(+),DBP(+),0.6731741573033708,-0.043820224719101186,0.5958801498127342,-0.4041198501872658,0.0001498127340824,-0.4042696629213482
SP2(+),CXXC1(+),0.6747659176029963,-0.0422284644194757,0.5964606741573033,-0.4035393258426967,0.0007022471910111,-0.4042415730337078
ZNF528(+),RUNX2(+),0.6751404494382023,-0.041853932584269726,0.5985393258426966,-0.40146067415730335,0.0026872659176029002,-0.40414794007490623
KLF2(+),REL(+),0.6707865168539326,-0.046207865168539364,0.5926310861423222,-0.4073689138576778,-0.0032303370786515998,-0.4041385767790262
ZBTB49(+),NFATC2(+),0.6742041198501872,-0.042790262172284765,0.5965355805243446,-0.40346441947565537,0.0005617977528089,-0.40402621722846427
