tf1,tf2,mean_stability_pair,delta_depth_vs_base,auc_pair,delta_auc_vs_base,expected_additive,synergy
POU2F1(+),FOSB(+),0.6753277153558053,-0.04166666666666674,0.5980805243445693,-0.40191947565543074,-0.0038483146067414997,-0.3980711610486892
POU2F1(+),RORA(+),0.683941947565543,-0.03305243445692896,0.6050936329588015,-0.3949063670411985,7.490636704129999e-05,-0.39498127340823985
POU2F1(+),SP3(+),0.681320224719101,-0.03567415730337098,0.603192883895131,-0.39680711610486896,-0.00040262172284650003,-0.39640449438202247
POU2F1(+),ZNF528(+),0.6700374531835206,-0.04695692883895142,0.5926404494382023,-0.40735955056179773,0.0022191011235953,-0.40957865168539304
POU2F1(+),KLF2(+),0.6663857677902623,-0.05060861423220975,0.5887734082397004,-0.41122659176029963,-0.0018352059925093,-0.40939138576779033
POU2F1(+),ZBTB49(+),0.6712078651685394,-0.045786516853932646,0.5938483146067416,-0.4061516853932584,0.000945692883895,-0.4070973782771534
POU2F1(+),KDM5B(+),0.6679307116104869,-0.049063670411985116,0.5898408239700375,-0.41015917602996255,0.0010486891385767,-0.41120786516853924
POU2F1(+),ELK3(+),0.6741573033707866,-0.0428370786516854,0.5963202247191012,-0.4036797752808988,-0.0013764044943821,-0.40230337078651673
POU2F1(+),REL(+),0.6684456928838951,-0.048548689138576906,0.59124531835206,-0.40875468164794004,-0.00029026217228469997,-0.4084644194756553
POU2F1(+),DBP(+),0.6731741573033708,-0.043820224719101186,0.5958801498127342,-0.4041198501872658,0.0001498127340824,-0.4042696629213482
POU2F1(+),RUNX2(+),0.6762640449438202,-0.04073033707865181,0.5979307116104869,-0.40206928838951306,0.0015730337078652,-0.40364232209737827
POU2F1(+),FOXP4(+),0.6757022471910112,-0.04129213483146077,0.5985486891385768,-0.40145131086142316,-0.0005711610486892,-0.40088014981273395
POU2F1(+),NFATC2(+),0.6691011235955057,-0.047893258426966345,0.591441947565543,-0.408558052434457,0.0007209737827715,-0.40927902621722845
POU2F1(+),SP2(+),0.6714887640449438,-0.04550561797752817,0.5923127340823969,-0.40768726591760307,0.0014232209737827,-0.4091104868913858
POU2F1(+),CXXC1(+),0.6748127340823971,-0.04218164794007495,0.5974906367041198,-0.40250936329588016,0.000383895131086,-0.40289325842696616
FOSB(+),RORA(+),0.6948970037453184,-0.022097378277153634,0.6182584269662921,-0.3817415730337079,-0.0048782771535578,-0.3768632958801501
FOSB(+),SP3(+),0.6912453183520599,-0.025749063670412076,0.6155149812734083,-0.3844850187265917,-0.0053558052434455996,-0.3791292134831461
FOSB(+),ZNF528(+),0.6763108614232209,-0.040683520599251066,0.6009269662921348,-0.3990730337078652,-0.0027340823970037997,-0.3963389513108614
FOSB(+),KLF2(+),0.6754681647940075,-0.0415262172284645,0.5970411985018726,-0.40295880149812735,-0.0067883895131084,-0.39617041198501896
FOSB(+),ZBTB49(+),0.678183520599251,-0.03881086142322099,0.6027528089887642,-0.39724719101123585,-0.0040074906367041,-0.39323970037453176
FOSB(+),KDM5B(+),0.6749531835205993,-0.04204119850187271,0.5971254681647941,-0.40287453183520594,-0.0039044943820223995,-0.39897003745318355
FOSB(+),ELK3(+),0.6696629213483145,-0.0473314606741575,0.592996254681648,-0.40700374531835204,-0.0063295880149812,-0.40067415730337086
FOSB(+),REL(+),0.6760299625468165,-0.040964419475655545,0.5997565543071162,-0.40024344569288384,-0.0052434456928838,-0.395
FOSB(+),DBP(+),0.676123595505618,-0.04087078651685405,0.5990449438202248,-0.4009550561797752,-0.004803370786516699,-0.3961516853932585
FOSB(+),RUNX2(+),0.6835205992509363,-0.033473782771535676,0.6077996254681648,-0.3922003745318352,-0.0033801498127339,-0.3888202247191013
FOSB(+),FOXP4(+),0.67687265917603,-0.040121722846442,0.5999157303370787,-0.4000842696629213,-0.005524344569288299,-0.394559925093633
FOSB(+),NFATC2(+),0.6768258426966292,-0.040168539325842856,0.5998595505617977,-0.40014044943820226,-0.0042322097378276,-0.39590823970037464
FOSB(+),SP2(+),0.6763576779026217,-0.04063670411985032,0.6000374531835206,-0.39996254681647936,-0.0035299625468163997,-0.39643258426966294
FOSB(+),CXXC1(+),0.677621722846442,-0.039372659176030056,0.599681647940075,-0.40031835205992505,-0.0045692883895131,-0.39574906367041196
RORA(+),SP3(+),0.6967228464419476,-0.020271535580524414,0.6196441947565543,-0.3803558052434457,-0.0014325842696628,-0.3789232209737829
RORA(+),ZNF528(+),0.6890449438202249,-0.027949438202247157,0.6110393258426967,-0.3889606741573033,0.001189138576779,-0.3901498127340823
RORA(+),KLF2(+),0.6886704119850187,-0.02832397003745335,0.6101310861423221,-0.38986891385767786,-0.0028651685393255998,-0.38700374531835224
